Date,Logger1_probe1,Logger1_probe2,Logger2_probe1,Logger2_probe2
10/22/21 03:35:48 PM,0.2043,0.2516,0.308,0.2664
10/22/21 05:35:48 PM,0.199,0.2483,0.3066,0.2621
10/22/21 07:35:48 PM,0.1939,0.246,0.3054,0.2604
10/22/21 09:35:48 PM,0.1913,0.2441,0.3043,0.2589
10/22/21 11:35:48 PM,0.1885,0.2425,0.3037,0.2575
10/23/21 01:35:48 AM,0.1862,0.2414,0.3033,0.2564
10/23/21 03:35:48 AM,0.1843,0.2406,0.3029,0.2553
10/23/21 05:35:48 AM,0.183,0.2394,0.3026,0.2538
10/23/21 07:35:48 AM,0.299,0.3265,0.3412,0.2984
10/23/21 09:35:48 AM,0.3001,0.324,0.3321,0.2987
10/23/21 11:35:48 AM,0.2952,0.3151,0.3471,0.2955
10/23/21 01:35:48 PM,0.2803,0.3022,0.3211,0.281
10/23/21 03:35:48 PM,0.2694,0.2935,0.314,0.2694
10/23/21 05:35:48 PM,0.2639,0.2898,0.311,0.265
10/23/21 07:35:48 PM,0.2611,0.2881,0.3095,0.2618
10/23/21 09:35:48 PM,0.2589,0.2871,0.3084,0.2604
10/23/21 11:35:48 PM,0.2571,0.2864,0.3077,0.2589
10/24/21 01:35:48 AM,0.2557,0.2861,0.3069,0.2575
10/24/21 03:35:48 AM,0.2546,0.2857,0.3069,0.2564
10/24/21 05:35:48 AM,0.2532,0.2853,0.3062,0.2557
10/24/21 07:35:48 AM,0.249,0.283,0.3471,0.304
10/24/21 09:35:48 AM,0.2383,0.2766,0.338,0.3051
10/24/21 11:35:48 AM,0.2245,0.2624,0.3451,0.3001
10/24/21 01:35:48 PM,0.2047,0.2441,0.3192,0.2783
10/24/21 03:35:48 PM,0.1898,0.2315,0.311,0.2628
10/24/21 05:35:48 PM,0.1807,0.2257,0.3066,0.2538
10/24/21 07:35:48 PM,0.1775,0.2224,0.3037,0.249
10/24/21 09:35:48 PM,0.1756,0.2198,0.3026,0.2468
10/24/21 11:35:48 PM,0.1738,0.2182,0.3019,0.2445
10/25/21 01:35:48 AM,0.1724,0.2164,0.3008,0.2425
10/25/21 03:35:48 AM,0.1709,0.2143,0.3005,0.2406
10/25/21 05:35:48 AM,0.1699,0.2131,0.3476,0.3231
10/25/21 07:35:48 AM,0.1663,0.2092,0.3384,0.3187
10/25/21 09:35:48 AM,0.1581,0.2008,0.3326,0.3163
10/25/21 11:35:48 AM,0.1495,0.1876,0.3437,0.311
10/25/21 01:35:48 PM,0.1405,0.1779,0.3352,0.304
10/25/21 03:35:48 PM,0.1326,0.1671,0.3249,0.2935
10/25/21 05:35:48 PM,0.1256,0.1608,0.3211,0.2884
10/25/21 07:35:48 PM,0.1219,0.159,0.3204,0.2864
10/25/21 09:35:48 PM,0.1199,0.157,0.3195,0.2857
10/25/21 11:35:48 PM,0.1184,0.1551,0.3187,0.285
10/26/21 01:35:48 AM,0.1164,0.1538,0.3183,0.284
10/26/21 03:35:48 AM,0.1153,0.1523,0.3175,0.2834
10/26/21 05:35:48 AM,0.1143,0.1508,0.3553,0.3151
10/26/21 07:35:48 AM,0.1128,0.1459,0.3531,0.3125
10/26/21 09:35:48 AM,0.108,0.1396,0.3389,0.3118
10/26/21 11:35:48 AM,0.1075,0.129,0.3457,0.3095
10/26/21 01:35:48 PM,0.0992,0.1174,0.3412,0.3029
10/26/21 03:35:48 PM,0.0937,0.1101,0.3299,0.2952
10/26/21 05:35:48 PM,0.0893,0.1053,0.3256,0.2914
10/26/21 07:35:48 PM,0.0863,0.1025,0.3228,0.2887
10/26/21 09:35:48 PM,0.0844,0.1003,0.3199,0.2868
10/26/21 11:35:48 PM,0.0835,0.0981,0.3183,0.2844
10/27/21 01:35:48 AM,0.0822,0.0969,0.3171,0.283
10/27/21 03:35:48 AM,0.081,0.0955,0.3163,0.2821
10/27/21 05:35:48 AM,0.3072,0.3367,0.3611,0.3228
10/27/21 07:35:48 AM,0.3106,0.333,0.3547,0.3192
10/27/21 09:35:48 AM,0.3098,0.3312,0.3437,0.3192
10/27/21 11:35:48 AM,0.3062,0.3244,0.3399,0.3156
10/27/21 01:35:48 PM,0.2895,0.3102,0.3371,0.304
10/27/21 03:35:48 PM,0.2746,0.2987,0.3199,0.2877
10/27/21 05:35:48 PM,0.2673,0.2942,0.3151,0.2821
10/27/21 07:35:48 PM,0.2646,0.2928,0.3136,0.2793
10/27/21 09:35:48 PM,0.2621,0.2914,0.3125,0.2776
10/27/21 11:35:48 PM,0.26,0.2904,0.3113,0.2759
10/28/21 01:35:48 AM,0.2579,0.289,0.3106,0.2743
10/28/21 03:35:48 AM,0.256,0.2881,0.3095,0.2729
10/28/21 05:35:48 AM,0.2542,0.2871,0.3437,0.3087
10/28/21 07:35:48 AM,0.2505,0.2844,0.3427,0.308
10/28/21 09:35:48 AM,0.241,0.277,0.3357,0.3102
10/28/21 11:35:48 AM,0.2269,0.2592,0.3352,0.3062
10/28/21 01:35:48 PM,0.207,0.2311,0.3187,0.2874
10/28/21 03:35:48 PM,0.1876,0.21,0.311,0.2736
10/28/21 05:35:48 PM,0.1779,0.2012,0.308,0.2666
10/28/21 07:35:48 PM,0.1746,0.1976,0.3066,0.2639
10/28/21 09:35:48 PM,0.1728,0.1948,0.3054,0.2611
10/28/21 11:35:48 PM,0.1714,0.1939,0.3043,0.2592
10/29/21 01:35:48 AM,0.1699,0.1932,0.3037,0.2575
10/29/21 03:35:48 AM,0.1689,0.1923,0.3033,0.256
10/29/21 05:35:48 AM,0.1677,0.1904,0.3022,0.2538
10/29/21 07:35:48 AM,0.1638,0.184,0.2997,0.2475
10/29/21 09:35:48 AM,0.1596,0.1752,0.3144,0.2884
10/29/21 11:35:48 AM,0.1514,0.1629,0.3187,0.2753
10/29/21 01:35:48 PM,0.1421,0.1499,0.3072,0.2624
10/29/21 03:35:48 PM,0.1331,0.1405,0.3029,0.2538
10/29/21 05:35:48 PM,0.1302,0.1347,0.3019,0.2505
10/29/21 07:35:48 PM,0.1271,0.1317,0.3005,0.2479
10/29/21 09:35:48 PM,0.1256,0.1281,0.2994,0.2452
10/29/21 11:35:48 PM,0.1237,0.1266,0.2987,0.243
10/30/21 01:35:48 AM,0.1224,0.1251,0.2984,0.2414
10/30/21 03:35:48 AM,0.1209,0.1237,0.2979,0.2394
10/30/21 05:35:48 AM,0.1204,0.1224,0.2976,0.2374
10/30/21 07:35:48 AM,0.1189,0.1179,0.3348,0.3077
10/30/21 09:35:48 AM,0.1169,0.1107,0.3335,0.308
10/30/21 11:35:48 AM,0.1153,0.0992,0.3321,0.3033
10/30/21 01:35:48 PM,0.1107,0.0908,0.3156,0.2857
10/30/21 03:35:48 PM,0.0949,0.0768,0.3058,0.2708
10/30/21 05:35:48 PM,0.0844,0.0684,0.3026,0.2653
10/30/21 07:35:48 PM,0.0803,0.0646,0.3011,0.2635
10/30/21 09:35:48 PM,0.0787,0.0621,0.3001,0.2618
10/30/21 11:35:48 PM,0.0775,0.0607,0.299,0.26
10/31/21 01:35:48 AM,0.0768,0.0596,0.2984,0.2585
10/31/21 03:35:48 AM,0.0758,0.0574,0.2973,0.2571
10/31/21 05:35:48 AM,0.0752,0.0574,0.2966,0.2557
10/31/21 07:35:48 AM,0.0745,0.057,0.2949,0.2512
10/31/21 09:35:48 AM,0.0768,0.0547,0.3252,0.3043
10/31/21 11:35:48 AM,0.0745,0.0544,0.3265,0.3001
10/31/21 01:35:48 PM,0.0671,0.047,0.3168,0.2884
10/31/21 03:35:48 PM,0.0646,0.0421,0.3095,0.2786
10/31/21 05:35:48 PM,0.0555,0.0354,0.3058,0.2732
10/31/21 07:35:48 PM,0.0509,0.0319,0.304,0.2715
10/31/21 09:35:48 PM,0.049,0.0297,0.3029,0.2698
10/31/21 11:35:48 PM,0.0482,0.0288,0.3019,0.2677
11/01/2021 1:35,0.047,0.0283,0.3011,0.2666
11/01/2021 3:35,0.0454,0.027,0.3005,0.2646
11/01/2021 5:35,0.0442,0.0261,0.3393,0.3216
11/01/2021 7:35,0.0482,0.0306,0.3348,0.3187
11/01/2021 9:35,0.0442,0.0283,0.333,0.3178
11/01/2021 11:35,0.0454,0.031,0.329,0.3133
11/01/2021 13:35,0.0405,0.027,0.3261,0.299
11/01/2021 15:35,0.0341,0.0205,0.3163,0.289
11/01/2021 17:35,0.0306,0.019,0.3113,0.283
11/01/2021 19:35,0.0261,0.0161,0.3095,0.2806
11/01/2021 21:35,0.0247,0.0147,0.308,0.2783
11/01/2021 23:35,0.0228,0.0137,0.3069,0.2766
11/02/2021 1:35,0.0214,0.0122,0.3058,0.2749
11/02/2021 3:35,0.0205,0.0122,0.3048,0.2732
11/02/2021 5:35,0.0205,0.0122,0.3376,0.3156
11/02/2021 7:35,0.0238,0.0152,0.3357,0.314
11/02/2021 9:35,0.0205,0.0147,0.3326,0.3125
11/02/2021 11:35,0.0238,0.019,0.3339,0.3084
11/02/2021 13:35,0.0176,0.0137,0.329,0.2997
11/02/2021 15:35,0.0122,0.0097,0.3192,0.2922
11/02/2021 17:35,0.0097,0.0087,0.3151,0.2871
11/02/2021 19:35,0.0056,0.0056,0.3128,0.2844
11/02/2021 21:35,0.004,0.005,0.3118,0.283
11/02/2021 23:35,0.0029,0.004,0.3106,0.2817
11/03/2021 1:35,0.0024,0.004,0.3095,0.2803
11/03/2021 3:35,0.0008,0.0024,0.3087,0.279
11/03/2021 5:35,0.2874,0.3308,0.3343,0.3128
11/03/2021 7:35,0.2979,0.3274,0.3312,0.3113
11/03/2021 9:35,0.2955,0.3252,0.3312,0.3118
11/03/2021 11:35,0.2959,0.3219,0.3274,0.3095
11/03/2021 13:35,0.2914,0.3175,0.3321,0.3043
11/03/2021 15:35,0.283,0.3125,0.3216,0.2952
11/03/2021 17:35,0.277,0.3106,0.316,0.2895
11/03/2021 19:35,0.2746,0.3095,0.314,0.2871
11/03/2021 21:35,0.2729,0.3087,0.3128,0.2853
11/03/2021 23:35,0.2712,0.3084,0.3121,0.284
11/04/2021 1:35,0.2694,0.308,0.3113,0.283
11/04/2021 3:35,0.268,0.3077,0.3106,0.2817
11/04/2021 5:35,0.2666,0.3072,0.3486,0.3321
11/04/2021 7:35,0.2635,0.3072,0.3367,0.3277
11/04/2021 9:35,0.255,0.3058,0.3339,0.3256
11/04/2021 11:35,0.2441,0.3037,0.329,0.3204
11/04/2021 13:35,0.2286,0.3008,0.3223,0.2997
11/04/2021 15:35,0.2148,0.299,0.3133,0.2904
11/04/2021 17:35,0.2061,0.2984,0.3095,0.2853
11/04/2021 19:35,0.2029,0.2979,0.308,0.2827
11/04/2021 21:35,0.2003,0.2976,0.3072,0.2806
11/04/2021 23:35,0.1976,0.2973,0.3062,0.2786
11/05/2021 1:35,0.1958,0.297,0.3054,0.2766
11/05/2021 3:35,0.1939,0.297,0.3051,0.2756
11/05/2021 5:35,0.1917,0.2966,0.3043,0.2739
11/05/2021 7:35,0.1866,0.2959,0.3326,0.3171
11/05/2021 9:35,0.1762,0.2949,0.3304,0.3168
11/05/2021 11:35,0.1652,0.2928,0.3274,0.3121
11/05/2021 13:35,0.1532,0.2895,0.3308,0.3037
11/05/2021 15:35,0.1459,0.2874,0.3223,0.2955
11/05/2021 17:35,0.1412,0.2871,0.3183,0.2914
11/05/2021 19:35,0.1375,0.2864,0.3168,0.2895
11/05/2021 21:35,0.1357,0.2861,0.316,0.2881
11/05/2021 23:35,0.1347,0.2857,0.3151,0.2864
11/06/2021 1:35,0.1331,0.2857,0.3144,0.2853
11/06/2021 3:35,0.1317,0.2853,0.314,0.2844
11/06/2021 5:35,0.1307,0.2853,0.3133,0.2834
11/06/2021 7:35,0.1281,0.2844,0.3389,0.3261
11/06/2021 9:35,0.1246,0.2837,0.3384,0.3244
11/06/2021 11:35,0.1194,0.2821,0.3352,0.3219
11/06/2021 13:35,0.1174,0.279,0.3352,0.3148
11/06/2021 15:35,0.1091,0.2766,0.3304,0.3043
11/06/2021 17:35,0.1031,0.2759,0.3261,0.299
11/06/2021 19:35,0.0992,0.2753,0.3223,0.2959
11/06/2021 21:35,0.0981,0.2743,0.3195,0.2928
11/06/2021 23:35,0.0963,0.2739,0.3183,0.2908
11/07/2021 1:35,0.0949,0.2736,0.3175,0.2898
11/07/2021 3:35,0.0937,0.2736,0.3168,0.2884
11/07/2021 5:35,0.0932,0.2732,0.3163,0.2874
11/07/2021 7:35,0.0926,0.2726,0.3183,0.283
11/07/2021 9:35,0.0914,0.2701,0.3343,0.324
11/07/2021 11:35,0.0896,0.2673,0.3317,0.3216
11/07/2021 13:35,0.085,0.2653,0.3343,0.3148
11/07/2021 15:35,0.0803,0.2632,0.3304,0.3051
11/07/2021 17:35,0.0738,0.2621,0.3269,0.3001
11/07/2021 19:35,0.0708,0.2618,0.3235,0.2973
11/07/2021 21:35,0.0702,0.2611,0.3219,0.2952
11/07/2021 23:35,0.0684,0.2607,0.3207,0.2935
11/08/2021 1:35,0.0671,0.2604,0.3195,0.2922
11/08/2021 3:35,0.0671,0.2604,0.3195,0.2911
11/08/2021 5:35,0.0671,0.26,0.359,0.3393
11/08/2021 7:35,0.0678,0.2592,0.35,0.3348
11/08/2021 9:35,0.0653,0.2585,0.3476,0.3312
11/08/2021 11:35,0.0646,0.256,0.3447,0.329
11/08/2021 13:35,0.0702,0.2532,0.3427,0.3163
11/08/2021 15:35,0.0621,0.2502,0.3352,0.308
11/08/2021 17:35,0.0555,0.2494,0.3304,0.3029
11/08/2021 19:35,0.0521,0.249,0.329,0.3005
11/08/2021 21:35,0.0501,0.2487,0.3277,0.2994
11/08/2021 23:35,0.0494,0.2487,0.3269,0.2987
11/09/2021 1:35,0.049,0.2487,0.3265,0.2979
11/09/2021 3:35,0.0482,0.2483,0.3256,0.2973
11/09/2021 5:35,0.0474,0.2479,0.3457,0.3326
11/09/2021 7:35,0.049,0.2471,0.3412,0.3295
11/09/2021 9:35,0.0482,0.2449,0.3408,0.3277
11/09/2021 11:35,0.049,0.2414,0.3367,0.3204
11/09/2021 13:35,0.0482,0.2379,0.329,0.3029
11/09/2021 15:35,0.0434,0.2339,0.3195,0.2922
11/09/2021 17:35,0.0328,0.233,0.3151,0.2871
11/09/2021 19:35,0.0283,0.2327,0.3133,0.2844
11/09/2021 21:35,0.027,0.2323,0.3113,0.2821
11/09/2021 23:35,0.0261,0.2318,0.3102,0.2803
11/10/2021 1:35,0.0252,0.2315,0.3095,0.2786
11/10/2021 3:35,0.0261,0.2311,0.3084,0.277
11/10/2021 5:35,0.0252,0.2306,0.3072,0.2756
11/10/2021 7:35,0.0274,0.2294,0.3051,0.2719
